country_cd,region_cd,tribal_code,facility_id,unit_id,rel_point_id,process_id,agy_facility_id,agy_unit_id,agy_rel_point_id,agy_process_id,scc,poll,ann_value,ann_pct_red,facility_name,erptype,stkhgt,stkdiam,stktemp,stkflow,stkvel,naics,longitude,latitude,ll_datum,horiz_coll_mthd,design_capacity,design_capacity_units,reg_codes,fac_source_type,unit_type_code,control_ids,control_measures,current_cost,cumulative_cost,projection_factor,submitter_id,calc_method,data_set_id,facil_category_code,oris_facility_code,oris_boiler_id,ipm_yn,calc_year,date_updated,fug_height,fug_width_xdim,fug_length_ydim,fug_angle,zipcode,annual_avg_hours_per_year,jan_value,feb_value,mar_value,apr_value,may_value,jun_value,jul_value,aug_value,sep_value,oct_value,nov_value,dec_value,jan_pctred,feb_pctred,mar_pctred,apr_pctred,may_pctred,jun_pctred,jul_pctred,aug_pctred,sep_pctred,oct_pctred,nov_pctred,dec_pctred,comment
US,48475,,8515911,954513,878012,3396814,4,000015,000016,000005,20100201,PM-CON,0.08496,,PERMIAN BASIN STEAM ELECTRIC STATION,2,50,12,570,,70,22111,-102.958611,31.583333000000003,,,1060,E6BTU/HR,,125,120,,,,,,TXCEQ,5,2015EPA_PMAug,HAP,3494,CT5,3494_G_CT2,2015,20180117,,,,,79756,46,,,,,,,,,,,,,,,,,,,,,,,,,PM-CON was determined using data speciated from the PM Calculator.
US,48475,,8515911,954213,878912,3530414,4,000018,000019,000002,20100201,PM-CON,0.053370000000000015,,PERMIAN BASIN STEAM ELECTRIC STATION,2,50,20,700,,70,22111,-102.959167,31.583056,,,1060,E6BTU/HR,,125,120,,,,,,TXCEQ,5,2015EPA_PMAug,HAP,3494,CT3,3494_G_CT5,2015,20180117,,,,,79756,40,,,,,,,,,,,,,,,,,,,,,,,,,PM-CON was determined using data speciated from the PM Calculator.
US,48475,,8515911,954213,878912,3530414,4,000018,000019,000002,20100201,PM25-FIL,0.06523,,PERMIAN BASIN STEAM ELECTRIC STATION,2,50,20,700,,70,22111,-102.959167,31.583056,,,1060,E6BTU/HR,,125,120,,,,,,TXCEQ,5,2015EPA_PMAug,HAP,3494,CT3,3494_G_CT5,2015,20180117,,,,,79756,40,,,,,,,,,,,,,,,,,,,,,,,,,PM25-FIL was speciated from agency provided data using PM Calculator.
US,48475,,8515911,954213,878912,3530414,4,000018,000019,000002,20100201,PM10-FIL,0.06523,,PERMIAN BASIN STEAM ELECTRIC STATION,2,50,20,700,,70,22111,-102.959167,31.583056,,,1060,E6BTU/HR,,125,120,,,,,,TXCEQ,5,2015EPA_PMAug,HAP,3494,CT3,3494_G_CT5,2015,20180117,,,,,79756,40,,,,,,,,,,,,,,,,,,,,,,,,,PM10-FIL was speciated from agency provided data using PM Calculator.
US,48481,,8516011,953713,877412,3716814,49,000001,000001,000001,20300203,PM25-FIL,0.018315,,WHARTON COUNTY GENERATION FACILITY,2,72,18.5,550,,60,22111,-95.898794,29.264106,,,895,E6BTU/HR,,125,120,,,,,,TXCEQ,5,2015EPA_PMAug,HAP,50137,1,50137_G_GEN1,2015,20180117,,,,,77462,44,,,,,,,,,,,,,,,,,,,,,,,,,PM25-FIL was speciated from agency provided data using PM Calculator.
US,48481,,8516011,953713,877412,3716814,49,000001,000001,000001,20300203,PM-CON,0.014985,,WHARTON COUNTY GENERATION FACILITY,2,72,18.5,550,,60,22111,-95.898794,29.264106,,,895,E6BTU/HR,,125,120,,,,,,TXCEQ,5,2015EPA_PMAug,HAP,50137,1,50137_G_GEN1,2015,20180117,,,,,77462,44,,,,,,,,,,,,,,,,,,,,,,,,,PM-CON was determined using data speciated from the PM Calculator.
US,48481,,8516011,953713,877412,3716814,49,000001,000001,000001,20300203,PM10-FIL,0.018315,,WHARTON COUNTY GENERATION FACILITY,2,72,18.5,550,,60,22111,-95.898794,29.264106,,,895,E6BTU/HR,,125,120,,,,,,TXCEQ,5,2015EPA_PMAug,HAP,50137,1,50137_G_GEN1,2015,20180117,,,,,77462,44,,,,,,,,,,,,,,,,,,,,,,,,,PM10-FIL was speciated from agency provided data using PM Calculator.
US,48481,,13392711,71581913,65798112,99087714,306,000005,000005,000005,20100201,PM25-FIL,6.75114,,COLORADO BEND I,2,120,14,223,,84.5,22111,-96.067958,29.288586,,,1120,E6BTU/HR,,125,120,65,,,,,TXCEQ,5,2015EPA_PMAug,,56350,CT2B,56350_G_CT2B,2015,20180117,,,,,75241,4871,,,,,,,,,,,,,,,,,,,,,,,,,PM25-FIL was speciated from agency provided data using PM Calculator.
US,48481,,13392711,71581913,65798112,99087714,306,000005,000005,000005,20100201,PM10-FIL,6.75114,,COLORADO BEND I,2,120,14,223,,84.5,22111,-96.067958,29.288586,,,1120,E6BTU/HR,,125,120,65,,,,,TXCEQ,5,2015EPA_PMAug,,56350,CT2B,56350_G_CT2B,2015,20180117,,,,,75241,4871,,,,,,,,,,,,,,,,,,,,,,,,,PM10-FIL was speciated from agency provided data using PM Calculator.
US,48481,,13392711,71581913,65798112,99087714,306,000005,000005,000005,20100201,PM-CON,5.52366,,COLORADO BEND I,2,120,14,223,,84.5,22111,-96.067958,29.288586,,,1120,E6BTU/HR,,125,120,65,,,,,TXCEQ,5,2015EPA_PMAug,,56350,CT2B,56350_G_CT2B,2015,20180117,,,,,75241,4871,,,,,,,,,,,,,,,,,,,,,,,,,PM-CON was determined using data speciated from the PM Calculator.
