,Facility_ID,Longitude,Latitude,NH3_Gnd_Winter,NOX_Gnd_Winter,PEC_Gnd_Winter,SO2_Gnd_Winter
0,6436311.0,-96.082,30.619,330593.3941816208,39319.570020413295,360584.30815165926,968.0520259007665
1,4018411.0,-97.214,28.713,107359.85044036589,46812.19279195127,352696.17120437435,672.5649443998441
2,4837411.0,-106.432,31.984,45378.90705892131,57449.56655065095,904631.3297213904,2284.6673025342147
3,3968411.0,-95.636,29.479,1104878.5767406572,97822.4974488217,4143574.068380661,2129.2259905215606
4,4144811.0,-96.752,29.914,309218.5515437012,74745.19327638794,583657.5365277592,2799.83789175475
5,3981511.0,-97.271,30.146,337515.98078392586,28261.347527407168,633626.4136094076,694.0956612050838
6,6498311.0,-94.619,32.018,385438.27234162984,61017.373940129306,291891.26562664134,670.6994435465178
7,13385811.0,-96.489,31.182,534132.3283990512,393113.21153832454,250098.46713430405,603.2639380560523
8,7552911.0,-96.696,31.093,509852.1214189563,60593.35438003465,544465.0160177845,305.72542719086454
9,7926611.0,-98.31,32.658,59033.86372239283,17674.888383211975,53174.59017131156,46.768888053384444
10,4930011.0,-102.57,34.185,64704.86711433167,15535.408952418926,81216.3067911541,82.82314219083811
11,4862411.0,-94.066,30.057,867377.2391340871,1103314.9832113255,16492256.829147821,42384.50452985605
12,7908711.0,-94.69,32.448,343717.822349635,437102.7950752314,2869144.176328521,17953.884153908755
13,4845611.0,-94.485,32.461,274524.56837077433,301144.19430087577,1443914.8307434588,2893.8129302714838
14,3052111.0,-96.055,31.821,205894.73708676483,72898.47583120225,241789.11626543527,149.20317809519418
15,4898511.0,-98.477,28.704,78156.980045101,85020.43411760876,54653.72391176144,109749.81598835984
16,5617211.0,-98.32,29.306,850297.4282019631,81697.81251579308,2511545.316882294,3123.001219212463
17,4036111.0,-95.038,33.092,764732.1668080048,149297.9109663663,1184396.086511865,7981.207579726474
18,4164411.0,-94.843,33.056,746166.3211425814,33082.201734772585,245016.68953966646,1609.0141966026813
19,5745311.0,-101.748,35.299,224128.05971466054,50354.002618458704,548334.9794756531,1508.1136889418776
20,13408411.0,-97.061,30.567,209948.1415552347,31554.86276408089,504544.574248528,618.8101156149037
21,4204811.0,-97.063,30.566,209948.1415552347,31554.86276408089,504544.574248528,618.8101156149037
22,15628511.0,-96.955,31.475,720208.5901587324,109101.99492951574,1031789.5674341094,1854.351661330616
23,5650511.0,-96.253,31.424,266435.90449411876,279063.4421150682,711116.1247869399,2761.5552190451986
24,6599611.0,-96.461,30.722,484287.23641921184,169114.78069040398,996627.6379634354,8787.247499000261
25,5729111.0,-94.902,29.771,139211.4057225616,60689.61319977726,1176817.2351516103,1674.7921042303692
26,5847411.0,-94.923,29.752,1042733.6375646368,895060.2364634973,16922916.71047998,93283.67078265977
27,5729511.0,-94.991,31.94,351918.8842696605,33977.914704679795,325252.0323090481,1043.2601677491302
28,16862411.0,-96.614,33.577,456116.96113697917,91630.25811981264,894955.3153190672,1323.1092706787717
29,4018911.0,-98.14,29.624,456333.32090652536,431774.96434151335,8058606.042947023,13523.470352931316
30,7720411.0,-97.973,29.593,601678.777197607,280211.6803250046,5163396.451597518,11317.301062003733
31,14748411.0,-94.257,30.303,100224.1263977581,172858.59263802753,3150727.173335663,5315.550331580445
32,4925011.0,-95.046,29.626,1939743.1352617426,1053034.6535963234,34243154.753136754,36438.627895565536
33,6429411.0,-95.11,29.816,771763.7349169406,335933.24792460894,8654643.67196612,13160.83235276867
34,6616311.0,-95.072,29.703,1457834.9382077365,1276549.119850254,29659111.572408717,55485.941910361704
35,4926511.0,-95.535,29.942,2143054.5574927144,1153378.6081793322,35950766.64230205,38830.84184802826
36,6422111.0,-95.177,29.725,2170936.4135483075,1624451.801998218,42992316.45781872,44780.41896457413
37,6510011.0,-95.232,29.719,2170936.4135483075,1624451.801998218,42992316.45781872,44780.41896457413
38,4057511.0,-95.121,29.837,771763.7349169406,335933.24792460894,8654643.67196612,13160.83235276867
39,7907811.0,-95.041,29.695,1457834.9382077365,1276549.119850254,29659111.572408717,55485.941910361704
40,6509911.0,-95.136,29.714,1457834.9382077365,1276549.119850254,29659111.572408717,55485.941910361704
41,4777911.0,-95.223,29.819,449694.0679434075,392532.57504410436,10663322.954697039,14610.134516955402
42,6429511.0,-95.067,29.626,1939743.1352617426,1053034.6535963234,34243154.753136754,36438.627895565536
43,4927111.0,-97.991,29.781,926221.764816285,267829.5924165036,3788061.3538236334,25900.231675696567
44,4863311.0,-96.101,32.124,458637.48952621466,153134.86883145172,1783684.5842172108,3797.353697332137
45,5655011.0,-98.372,30.558,3816.8307906185773,12552.82822006893,148774.38935780042,180.4902480747082
46,5613211.0,-94.548,32.849,85166.81909779143,79883.92515339883,832768.4350785075,628.6565876142417
47,7652411.0,-94.723,32.922,363035.5356214495,76549.27471024296,749032.1649534961,1850.9655761483245
48,13389311.0,-94.9,31.832,446737.8649418261,16716.633561070055,154883.44795060073,142.9820068839019
49,5611911.0,-97.31,27.608,142682.41150604087,139939.52384372853,2753863.6355441366,6699.549197652745
50,4189011.0,-97.419,27.819,216460.06511217638,202628.98429143877,2319528.887781685,5274.3137131949115
51,4206511.0,-97.428,27.814,216460.06511217638,202628.98429143877,2319528.887781685,5274.3137131949115
52,5678011.0,-101.746,35.284,224128.05971466054,50354.002618458704,548334.9794756531,1508.1136889418776
53,5780011.0,-97.258,27.889,349071.60888634424,91891.45074003912,602689.1073759588,2266.1507603543655
54,9071611.0,-97.613,30.209,1339924.403056215,102244.389556274,1960397.205060085,2384.5843893861615
