,Facility_ID,Longitude,Latitude,NH3_Gnd_Winter,NOX_Gnd_Winter,PEC_Gnd_Winter,SO2_Gnd_Winter
0,8433511.0,-78.454,42.086,648320.9562052517,419909.72275271034,8901814.187690808,36132.68455484729
1,7417811.0,-78.606,43.357,102900.10532749881,38710.45336387282,688059.7221063043,1736.0843342385797
2,7417211.0,-78.854,43.048,2220131.322011668,1017997.0125082781,18022396.04741818,46919.78887670158
3,7762611.0,-79.003,43.083,2740913.93592649,2239114.191528686,38681530.37975492,83984.85555239879
4,7222811.0,-73.648,40.826,9376649.6226819,3456221.288507475,79224610.85281223,34042.89143634339
5,7222111.0,-73.589,40.727,16991283.402079362,7085208.383589891,156526193.18386552,90893.86995070991
6,7221611.0,-73.648,40.618,1121648.0657097166,437612.2268877975,10668914.693814991,5449.085043150463
7,10680411.0,-73.568,40.65,16991283.402079362,7085208.383589891,156526193.18386552,90893.86995070991
8,7221311.0,-73.568,40.645,16991283.402079362,7085208.383589891,156526193.18386552,90893.86995070991
9,7223311.0,-73.499,40.746,11304048.616353385,4665179.140547806,107357446.80044223,61085.08923829897
10,8469511.0,-75.434,43.886,238035.23070757207,103159.37080978954,3627246.321883055,5306.301078291998
11,7801111.0,-73.85,42.57,671107.6207038928,783633.4340597136,15430803.024828264,18635.872736275185
12,7819511.0,-73.81,43.249,108254.28782774798,110611.54457916216,2021354.6277809872,4976.229144659804
13,7952711.0,-74.16,41.12,7237626.014065356,2202771.789698211,39773633.570052065,29722.159874163495
14,8175411.0,-73.966,41.206,3355996.396455581,1459068.9380954679,37534329.30243343,23669.82407663401
15,9330411.0,-74.068,40.619,55641697.97061476,9031649.701912196,198954805.87230498,66284.1602091646
16,8310711.0,-73.785,40.647,13974486.630686501,4147080.1986060394,77632498.85833114,51980.372765028376
17,8309011.0,-73.946,40.76,160423288.9619046,40951840.102757886,877552788.2971255,559588.2008010132
18,9333411.0,-73.761,40.611,13974486.630686501,4147080.1986060394,77632498.85833114,51980.372765028376
19,7982311.0,-73.9,40.78,160423288.9619046,40951840.102757886,877552788.2971255,559588.2008010132
20,15488311.0,-72.94,40.814,960338.1998928825,773324.4065121113,19769863.643105578,21270.008702749023
21,9318211.0,-73.389,40.734,12944439.8129678,5130894.2499925215,117746139.49664,78607.15653013151
22,9316311.0,-73.293,40.787,2548988.960774722,1390100.5107182257,29484290.045344777,38426.03330108982
23,10749711.0,-72.376,41.106,73510.11045353996,402950.1836133194,5338021.954881379,3816.672685338483
24,8121711.0,-73.34,40.92,3129590.0986108272,1355959.3380652522,34547159.1283127,27218.773567372937
25,8452911.0,-73.129,40.917,1103713.790065513,768750.6057445025,14659077.45777497,12972.723790805068
26,8452511.0,-72.877,40.957,139640.639184054,80982.26935518654,1923552.066639366,1945.8068308334055
27,8452411.0,-73.066,40.817,2930228.576560773,1934746.323324911,40621137.26958763,48672.920354619615
28,8452011.0,-73.34,40.69,3043399.87755644,1428540.2916922846,30613897.127944786,40121.54493984389
29,7981711.0,-73.064,40.816,2930228.576560773,1934746.323324911,40621137.26958763,48672.920354619615
30,7981511.0,-73.079,40.95,1577653.1905509667,847568.8281577863,18355574.243799202,20221.722770605113
31,8504111.0,-78.91,42.96,7232280.035297558,3888546.778507002,39342197.99835244,155796.9818217448
32,8538911.0,-76.493,43.472,300168.5598523121,257217.6358908379,7404811.705474425,19497.818710573305
33,7980511.0,-76.532,43.459,300168.5598523121,257217.6358908379,7404811.705474425,19497.818710573305
34,7814811.0,-78.078,42.654,470491.64001899137,195664.12792143173,2947142.788161509,10022.838530547655
35,9333711.0,-73.85,42.272,628442.849543766,632116.1911108405,13672067.364470623,10875.869132294583
36,8462711.0,-78.159,42.983,977750.930682578,781716.6566840215,11836576.57759321,21731.480514146057
37,8375111.0,-73.456,44.713,178480.74584372347,237178.79722516547,5674433.893298015,12719.045269213799
38,7806011.0,-79.248,42.094,304917.7750836421,258604.77006618003,4111672.297497836,12836.54472863435
39,7805611.0,-79.348,42.492,944092.820278133,553937.117216407,10026733.622282892,18677.42853789798
40,7968411.0,-74.893,44.95,266608.32904481434,418158.77176578133,6298803.613692604,29379.70235275201
41,7864311.0,-73.745,42.54,671107.6207038928,783633.4340597136,15430803.024828264,18635.872736275185
42,7863911.0,-73.748,42.626,2878974.129569243,2110024.034289584,34502197.48748948,57901.59886249834
43,8427211.0,-74.418,41.428,2871435.853957123,1220894.6840108247,33884738.329884864,32519.29810520597
44,8427811.0,-73.98,41.57,2259653.6677817944,1314837.0194539952,34381003.606765226,33831.36441611254
45,7435911.0,-76.225,43.067,4580888.664239942,5185918.4607224595,54769775.35442203,188771.30790313322
46,7243711.0,-75.601,43.08,371792.99154575844,271741.6125064986,3460531.185065869,8370.802381175099
47,7994011.0,-73.973,40.728,160423288.9619046,40951840.102757886,877552788.2971255,559588.2008010132
48,9326111.0,-73.966,40.715,217707622.44450572,34147613.23318689,717775486.9416854,300807.13769679423
49,8105011.0,-73.977,40.699,217707622.44450572,34147613.23318689,717775486.9416854,300807.13769679423
50,8036811.0,-75.62,43.98,109735.2485287911,75237.16653282198,754355.4578296312,2352.701230175362
51,1140311.0,-97.086,36.721,414425.0663946729,384243.41725872393,2467988.1694813585,18289.206325625742
52,8350611.0,-95.277,36.222,326936.58455495106,233391.25592203313,2524637.398280234,32119.789308692976
53,882511.0,-97.589,35.296,519286.08148616453,209176.56719897196,2640178.2507109703,3393.646736324787
54,8350311.0,-97.655,35.74,163442.6081894101,138208.292871266,470098.6732559868,1748.4110022055222
55,8350011.0,-95.695,36.012,379085.5798312346,501882.0425247354,5254963.849941006,16141.21678278618
56,8421611.0,-81.431,35.16,245945.13067895133,235909.4351574231,2089202.788511425,2895.255843324829
57,3763611.0,-81.614,35.072,95443.52330371916,120520.33741130751,2142690.6070196563,3254.5757162500686
58,15649011.0,-103.261,44.121,99474.74587407344,233394.98964121094,2238894.984395846,2822.107046508503
59,17418211.0,-96.533,44.396,124684.34888633105,25385.538843942053,72562.63192384287,452.62247932611956
60,15649111.0,-98.099,45.373,86275.50780643753,25078.67241538442,99662.80565366244,143.06586360666282
61,7773211.0,-73.209,44.493,1099863.1267481043,1269096.6088087682,19931581.055018228,88213.53868490495
62,4184611.0,-80.863,37.37,63088.34244127846,72903.37989605647,1143239.0335615694,3600.1962674397305
63,547311.0,-111.912,33.425,746972.2413700792,1235944.8373539262,29526495.218528785,19981.315641975758
64,546011.0,-112.889,33.341,24719.235419156583,17670.193994087476,180921.4211995603,224.13521566137294
65,1139111.0,-112.159,33.443,823047.3068725833,2083996.377797646,39060667.94320922,20028.90170083312
66,1139411.0,-111.936,33.356,513194.1507556353,967176.370185744,25458453.27470756,16944.07353543779
67,4664211.0,-85.504,39.953,643612.689993807,418583.9917959291,5742373.60111175,7004.5165889700165
68,5544111.0,-86.244,39.902,3066398.3695751103,3194219.479452921,26084788.458120503,21341.82784002717
69,4561111.0,-85.971,40.096,664946.7621208894,669380.794670552,7174313.986926899,7790.914283864887
70,12818011.0,-104.68,39.744,147719.04834327957,178328.65053765383,4602954.413263878,8807.265788530836
71,1621811.0,-104.682,39.942,292203.23498152825,690966.532452368,6644374.558691208,102218.73814427946
72,16243211.0,-104.53,38.321,179263.405661833,167830.40904612132,3047040.717662617,17287.12151395592
73,1699811.0,-105.003,39.67,2642723.569960979,1043503.7935040754,28274888.1023977,54679.50583829088
74,13331311.0,-104.888,40.092,787900.1996513468,497604.28726255154,1341809.9066558839,698.1357709415487
75,4385111.0,-104.688,38.557,31169.554910278235,40996.98600352638,596202.1371704594,4927.853069789545
76,4391711.0,-104.833,38.825,483580.87400274916,244880.58288579833,7208869.724914603,3585.9591927159395
77,17644211.0,-78.178,38.97,330020.75699467375,365084.5204620232,3783365.337530514,4073.4419882483553
78,6634511.0,-76.997,36.651,208319.62650182488,233407.2670290904,2806924.415618136,12514.626405669202
79,7520511.0,-77.281,38.538,67216.79863054835,38609.56866308102,2245107.863387324,4873.822921667157
80,6148811.0,-77.315,38.264,367074.70880024886,226385.50390640332,2678495.5893618553,5383.558283548611
81,6960711.0,-75.703,37.705,550556.5113493488,146451.3145617033,1736283.7398748794,10874.086930292233
82,6631811.0,-77.446,37.82,313153.2811030946,580466.7726522243,6934265.125804716,8650.850273865859
83,6160611.0,-78.705,36.869,106199.5257235477,30925.710536478382,517803.8403079085,1427.8569630005863
84,5083411.0,-77.433,37.496,1205760.6577119469,1441967.3353540595,26942079.97665523,92118.46500079156
85,4938911.0,-76.352,36.87,2519664.4408669244,2640525.329983721,43815354.71011445,194992.49430059994
86,4565211.0,-76.461,37.215,196374.25865696525,334152.7429727117,4773288.784064543,19395.911581937085
87,16530111.0,-82.338,36.916,82027.10699027461,154071.27323738782,1545354.2258865433,4899.197112922667
88,5763511.0,-82.198,36.933,78871.34565254513,60968.17727361932,832323.6741416483,2244.479967644424
89,6866611.0,-77.513,38.072,395961.51883600536,687382.5604908309,7293342.999339143,6859.8200909358275
90,4565711.0,-79.274,37.119,216137.27008567977,238463.90400682922,3755545.3312750957,9043.813653476525
91,15432111.0,-78.285,37.696,215968.1114648128,102627.5425425083,1496515.0218046547,2258.6712678973404
92,5748311.0,-78.532,36.601,28164.228331236387,12365.365561765833,35102.74250920721,739.2732013361439
93,9063611.0,-78.214,38.117,176778.23865522922,151912.47977453793,3791245.259931994,4267.288113394888
94,5040011.0,-78.204,38.124,176778.23865522922,151912.47977453793,3791245.259931994,4267.288113394888
95,4181011.0,-77.382,37.376,843261.4436829615,993249.4980419282,14776395.629069712,52052.77150712991
96,6311211.0,-77.368,37.499,1205760.6577119469,1441967.3353540595,26942079.97665523,92118.46500079156
97,5883511.0,-77.282,37.291,1240741.1905810104,631982.9183597238,8495131.765535817,31672.68122001437
98,10633611.0,-77.283,37.297,1240741.1905810104,631982.9183597238,8495131.765535817,31672.68122001437
99,6682611.0,-76.312,36.774,1561942.9603125667,1350768.9499381043,24419838.505523548,96823.38338857538
100,6631311.0,-78.288,37.709,215968.1114648128,102627.5425425083,1496515.0218046547,2258.6712678973404
101,9078811.0,-78.38,37.867,123223.4104152427,107943.95462856462,2568373.596825498,5687.4489888358985
