,facility_id,Longitude,Latitude,PEC_Gnd_Winter,PEC_Gnd_Spring,PEC_Gnd_Summer,PEC_Gnd_Fall,PEC_Gnd_Annual,PEC_150m_Winter,PEC_150m_Spring,PEC_150m_Summer,PEC_150m_Fall,PEC_150m_Annual,PEC_300m_Winter,PEC_300m_Spring,PEC_300m_Summer,PEC_300m_Fall,PEC_300m_Annual,SO2_Gnd_Winter,SO2_Gnd_Spring,SO2_Gnd_Summer,SO2_Gnd_Fall,SO2_Gnd_Annual,SO2_150m_Winter,SO2_150m_Spring,SO2_150m_Summer,SO2_150m_Fall,SO2_150m_Annual,SO2_300m_Winter,SO2_300m_Spring,SO2_300m_Summer,SO2_300m_Fall,SO2_300m_Annual,NOX_Gnd_Winter,NOX_Gnd_Spring,NOX_Gnd_Summer,NOX_Gnd_Fall,NOX_Gnd_Annual,NOX_150m_Winter,NOX_150m_Spring,NOX_150m_Summer,NOX_150m_Fall,NOX_150m_Annual,NOX_300m_Winter,NOX_300m_Spring,NOX_300m_Summer,NOX_300m_Fall,NOX_300m_Annual,NH3_Gnd_Winter,NH3_Gnd_Spring,NH3_Gnd_Summer,NH3_Gnd_Fall,NH3_Gnd_Annual,NH3_150m_Winter,NH3_150m_Spring,NH3_150m_Summer,NH3_150m_Fall,NH3_150m_Annual,NH3_300m_Winter,NH3_300m_Spring,NH3_300m_Summer,NH3_300m_Fall,NH3_300m_Annual
0,6436311,-96.082,30.619,119797.84873856396,82540.37750528737,79357.78839546675,107790.86752104157,97371.72054008991,80090.89300697134,47697.12843090266,42867.221090053295,71054.31925000419,60427.39044448287,67279.36187618684,43213.6865649715,38244.8037481169,59241.979288563285,51994.957869459635,32732.63138700482,19312.257693548814,13700.765452078967,12887.075516059918,19658.18251217313,28848.827123481722,18950.133322081576,14694.500521939022,13797.627045400457,19072.772003225695,23541.236242440726,19070.192000472915,16238.269345488614,14896.088545697645,18436.446533524973,11828.740577658957,5469.247188359771,1149.1152951450465,2384.361273220276,5207.866083596012,8647.592693494744,3875.141094602115,1004.321733604693,2030.4910144800692,3889.386634045405,7368.784251370479,3599.4157508170433,879.6846948017414,1947.289204069773,3448.7934752647593,67497.7913550369,20746.683127800567,16685.54853969536,39909.68944225216,36209.92811619624,49807.435519289495,15067.203646760845,11427.804856816363,28515.586501447244,26204.507631078486,41289.224019598616,14237.772610480917,9864.089232103717,24148.697318081988,22384.94579506631
1,4018411,-97.214,28.713,82085.5910064627,57378.38123534344,59377.170313178445,70463.14766846025,67326.0725558612,60384.86384617562,36705.71262071142,34279.44283100101,52127.07937667605,45874.274668641025,52384.932801769755,34310.775996679804,30974.22125138564,43637.19273529799,40326.7806962833,37347.9630881852,17271.114661560892,11062.336282181168,13723.033388628835,19851.111855139025,32421.336209089757,18703.523778405117,12156.861190823103,14622.016635201047,19475.934453379756,24338.178926150133,18630.709686571703,14810.804336023688,14857.762016863338,18159.363741402216,9077.93755705965,3263.3833180754223,819.1657330985983,1729.960441613275,3722.6117624617364,7276.782750588813,2566.8077215226226,753.741377735997,1531.4293096147426,3032.190289865544,6234.834786866052,2496.789512578814,847.312839675827,1523.3443951318698,2775.5703835631407,43895.28644558946,12125.119619899488,9276.452250541484,26672.987119024285,22992.461358763678,35531.22003941852,9524.370052841163,6083.006347237319,22025.65395291626,18291.062598103315,31557.72063792924,9021.692622367376,5230.406547648593,19738.439999678343,16387.064951905886
2,4837411,-106.432,31.984,43399.16462078118,20908.209964320053,24021.796496177958,46316.16875148252,33661.33495819043,29049.91561045605,11622.743969428173,14426.847351114777,33364.86312580036,22116.092514199838,26390.853601879953,10767.56170057798,13332.278000745357,32150.92071516786,20660.40350459279,11993.262259923691,4211.915761462085,5196.20258770318,6613.94496885052,7003.831394484869,14753.349094736299,4497.082108001292,5841.46497385181,7800.1529314886775,8223.01227701952,17704.944639706137,4744.099253764195,5342.8077668591695,8621.280791651436,9103.283112995234,2857.574371831181,266.87302179449017,133.74969966029514,692.5451828908974,987.685569044216,2932.9262831079996,241.4315559622458,149.1673914025623,627.5725996651631,987.7744575344927,2744.101779628406,246.60340405308943,132.90193184285286,608.5080159362296,933.0287828651444,16699.624444191155,5047.177347487742,6908.885884333044,13283.945594118966,10484.908317532727,12353.7609056463,3585.0646242273674,5289.4705354139705,12070.316238390458,8324.653075919525,11254.336392418287,3628.1223985928773,4928.022314476323,12310.261267555416,8030.185593260726
3,3968411,-95.636,29.479,401378.67615151446,321511.4450691674,332930.00222973706,321140.47452285886,344240.14949331945,181315.7553834731,148147.69119773761,148195.16626851822,155105.0039392046,158190.90419723338,136500.7755718469,126193.46264591534,128979.8932124626,115420.2181962778,126773.58740662565,22364.848866256976,20574.78608954155,16643.315678134553,12470.36930538521,18013.329984829572,18463.046026391952,20913.102408845236,17600.32801853678,13055.81980285911,17508.07406415827,14053.659351550361,20517.598309475492,19357.688211316105,13390.842367598858,16829.947059985203,13112.23378456288,8178.637958358692,2614.00290326235,4117.636561280129,7005.627801866012,6742.774740200341,6292.3584938064305,2401.6644994800336,3592.582781602902,4757.3451287724265,5843.680541200849,5783.841548503913,1988.9100499968893,3331.530752504456,4236.990723051527,292561.5755235256,110405.8016425222,93655.4862612093,116537.99671179094,153290.21503476202,103851.24128475875,43422.22295299793,35346.16556899661,53251.55084877743,58967.79516388268,66243.90597635186,34211.8132282958,26084.222673829758,33431.240729232515,39992.79565192749
4,4144811,-96.752,29.914,105956.13609206089,71589.83001902589,70440.37281127949,93057.56215963735,85260.9752705009,73165.53979139424,42725.85939159011,39100.34259172636,63616.9078696495,54652.16241109005,62067.10107579299,39118.0032987787,35144.57902558022,53336.63079187116,47416.57854800577,36678.6078100038,18074.462236579056,12425.328300639498,13228.33153452977,20101.68247043803,31633.818969556243,18654.86781049858,13693.727553783447,14080.325876082554,19515.685052480207,24464.260057600834,18974.48056875573,15966.502890277836,14954.187653516417,18589.857792537703,12668.378623729244,4922.014121016759,1052.8633888445709,2621.20479963996,5316.115233307633,8874.625678875307,3636.6190142686883,967.419069690729,2209.629771826532,3922.073383665314,7505.618112645814,3423.0478317862344,919.924981757673,2173.58193893492,3505.5432162811603,56825.52902653709,13850.762013372665,11386.64225711246,34732.963968815355,29198.974316459393,44204.54293958946,10798.085855169438,8125.659283442378,26528.28021387568,22414.14207301924,37189.34711448038,10412.571852594512,7117.531568917061,23091.356658653913,19452.701798661466
5,3981511,-97.271,30.146,145935.3153001315,102780.56367323318,101600.59919882317,130776.0193543325,120273.1243816301,87664.73048697454,57763.50282505325,52875.79273664092,81108.99589025315,69853.25548473047,72465.02774677004,51797.57771589927,46869.05711614539,65823.55518253757,59238.80444033806,34362.55645942966,16976.245005018438,12769.729839137111,12697.269065458775,19201.450092261,30352.87206764511,18464.553742753353,13769.405662636866,13626.36374147952,19053.298803628713,24612.805070293674,18676.75635679767,15604.50562256766,14601.798240199782,18373.966322464697,11846.14955865106,4380.911805238805,1000.9727714366827,2436.947869324349,4916.245501162724,8657.790106673303,3393.6427984048737,960.8268977036724,2040.3661202379142,3763.1564807549407,7338.21317327078,3208.1548278943374,961.0583367192992,1959.627902642992,3366.7635601318525,85953.40094514153,20590.291157768243,21725.24565156407,47938.6673137517,44051.90126705638,53477.354540602966,13205.278994011127,13699.095284437637,32249.46887917631,28157.799424557008,41789.246059917095,12021.929169237828,11072.068725797208,25634.620140839437,22629.46602394789
6,6498311,-94.619,32.018,119114.08942760133,83941.30388725914,82840.99898998244,108291.07434432837,98546.86666229283,80650.87076740993,47745.93725311435,46073.87684261365,71963.48084763308,61608.54142769275,68028.36821049839,42900.62990431147,41466.74166850128,61343.541574064824,53434.82033934399,24221.61139756215,19032.383107858812,17045.484141369503,12245.247806051282,18136.181613210436,22428.35325901756,20162.543633716978,18183.668267058023,13682.831982289279,18614.34928552046,20552.827415027572,19995.46134525105,18593.31699777886,14650.552916139448,18448.039668549234,10627.975012198083,3933.6856890403546,1272.0623582307114,2451.6749377413194,4571.349499302617,7752.583831431162,2809.4168940332456,1044.8482386484945,2123.982075509844,3432.7077599056865,6767.0847549823775,2606.564913666691,1210.5351856871432,1872.5311218388774,3114.1789940437725,71046.87249398619,27640.359337121976,28251.79984750619,41856.05881189407,42198.772622627104,50851.12487041582,18978.290496701055,19017.895637865473,30271.121290217896,29779.60807380006,42659.33078186862,17781.88664513514,17519.53582227793,26285.42966498187,26061.545728565892
7,13385811,-96.489,31.182,107892.03885551762,74049.53237055858,71110.71423953502,99308.87100031938,88090.28911648264,73046.14661423856,43034.45529958043,39257.847750667905,66429.44077562465,55441.97261002789,62046.67197293317,39027.87162489857,35290.58874203601,57212.692388841104,48394.456182177215,31669.944639416826,18338.905185221753,14024.93923525171,13633.930586726738,19416.929911654257,28540.28290812197,18501.601757524,15028.570422846718,14770.82007127251,19210.3187899413,24033.003787831494,18657.66009975721,16034.304392238595,15279.728709605452,18501.174247358187,11629.07747587051,5079.986060396695,1026.5340657853142,3201.5158254705348,5234.278356880764,9056.861535495067,3621.421760230212,977.2390380620265,2776.640896593089,4108.040807595099,7690.242008537625,3353.6164621661287,943.0246174397732,2698.9701019363456,3671.463297519968,58793.08486723044,19004.176432831915,15808.07692035901,36622.29836786419,32556.90914707139,46783.40120935774,14149.442149808052,11907.833859457993,28567.84484564815,25352.130516067984,39751.26323576755,13584.947107382404,10290.395106687949,25480.7910363974,22276.849121558822
8,7552911,-96.696,31.093,107892.03885551762,74049.53237055858,71110.71423953502,99308.87100031938,88090.28911648264,73046.14661423856,43034.45529958043,39257.847750667905,66429.44077562465,55441.97261002789,62046.67197293317,39027.87162489857,35290.58874203601,57212.692388841104,48394.456182177215,31669.944639416826,18338.905185221753,14024.93923525171,13633.930586726738,19416.929911654257,28540.28290812197,18501.601757524,15028.570422846718,14770.82007127251,19210.3187899413,24033.003787831494,18657.66009975721,16034.304392238595,15279.728709605452,18501.174247358187,11629.07747587051,5079.986060396695,1026.5340657853142,3201.5158254705348,5234.278356880764,9056.861535495067,3621.421760230212,977.2390380620265,2776.640896593089,4108.040807595099,7690.242008537625,3353.6164621661287,943.0246174397732,2698.9701019363456,3671.463297519968,58793.08486723044,19004.176432831915,15808.07692035901,36622.29836786419,32556.90914707139,46783.40120935774,14149.442149808052,11907.833859457993,28567.84484564815,25352.130516067984,39751.26323576755,13584.947107382404,10290.395106687949,25480.7910363974,22276.849121558822
9,7926611,-98.31,32.658,101403.01396017795,54542.762722806634,53490.355685238355,106115.69501602571,78887.95684606215,66239.00798429952,31092.066365609975,29514.692086501145,68803.87169988676,48912.40953407435,56698.692375749924,28448.15774040065,26601.731624687276,60976.51088886631,43181.27315742604,23030.57391725969,12445.085221337968,12326.742420713497,13183.58520006785,15246.496689844751,22644.95985482607,12925.916232795966,12845.689813057626,14680.968341663029,15774.383560585673,21724.3787114486,13120.99029379238,12185.592792484142,14672.421267677752,15425.845766350718,9424.196203012034,2106.95310025485,632.4489365496355,3813.0900223607655,3994.1720655443214,8111.037800705515,1549.6723201224986,603.1429303456988,3420.5709636657566,3421.1060037098678,6996.055122914382,1474.7168540354535,455.71962741658416,3257.6367525109376,3046.0320892193395,53633.05153079096,15509.498090783512,16176.826170668306,37036.8972875894,30589.068269958043,40718.03404463538,11496.48702396297,13001.546617638898,28391.343374930948,23401.85276529205,34441.93434683648,11331.332206606776,11388.607554434922,25111.973251960822,20568.461839959753
